company_id,company_name,founded_year,hq_country,hq_city,public_or_private,stock_ticker,category_primary,category_secondary,revenue_2025_usd_billions,profit_loss_2025_usd_billions,lead_investor_region,data_confidence,sources,ceo_name,ceo_wikipedia_url,founder_names,founder_wikipedia_urls,gov_contracts,gov_contract_notes,regulatory_actions,notes
mistral_ai,Mistral AI,2023,FR,Paris,private,,foundation_model,,0.1,,EU,high,https://en.wikipedia.org/wiki/Mistral_AI,Arthur Mensch,https://en.wikipedia.org/wiki/Arthur_Mensch,Arthur Mensch|Guillaume Lample|Timothée Lacroix,,FR|SG|EU,French Ministry of Defence contract (mission planning). Singapore Ministry of Defence contract. EU institutions. French government backing is explicit — President Macron personally endorsed Le Chat. ASML (largest shareholder) is Dutch/EU strategic asset.,EU AI Act compliance scrutiny as European model provider. Le Chat content moderation questions raised in French press (2024).,"Europe's most valuable AI startup. Open-source and proprietary models. Backed by ASML (11%), Nvidia, EU governments. French sovereign AI champion."
perplexity,Perplexity AI,2022,US,San Francisco,private,,application,,,,US,medium,https://en.wikipedia.org/wiki/Perplexity_AI,Aravind Srinivas,https://en.wikipedia.org/wiki/Aravind_Srinivas,Aravind Srinivas|Denis Yarats,https://en.wikipedia.org/wiki/Aravind_Srinivas,,No known government contracts.,"Publishers (NYT, Forbes, Condé Nast) accused Perplexity of scraping and reproducing copyrighted content without permission (2024). News Corp dispute (2024).",AI-native search engine. 20M MAU. $20B valuation. Backed by Jeff Bezos and Nvidia.
cursor,Cursor (Anysphere),2022,US,San Francisco,private,,application,tooling,,,US,medium,https://www.tldl.io/resources/ai-companies-landscape-2026,Michael Truell,,Michael Truell,,,No known government contracts. Developer tooling with no known defense exposure.,No major regulatory actions known.,AI code editor. Explosive developer adoption. $50B valuation in talks as of early 2026. Does not build its own foundation model.
corweave,CoreWeave,2017,US,Livingston NJ,public,CRWV,infrastructure,,1.9,,US,high,https://en.wikipedia.org/wiki/CoreWeave,Michael Intrator,,Michael Intrator,,US,US government cloud infrastructure contracts. Primary business is GPU cloud for AI training — indirect exposure through customers.,IPO scrutiny over concentration of revenue from Microsoft (>60% of revenue). SEC reviewed IPO prospectus disclosures.,GPU cloud infrastructure. IPO March 2025 at ~$23B. Revenue $1.9B (2024). Major Nvidia customer and partner.
ssi,Safe Superintelligence (SSI),2024,US,Palo Alto,private,,research_lab,,,,US,medium,https://en.wikipedia.org/wiki/Safe_Superintelligence,Ilya Sutskever,https://en.wikipedia.org/wiki/Ilya_Sutskever,Ilya Sutskever|Daniel Gross,https://en.wikipedia.org/wiki/Ilya_Sutskever,,No products or contracts. Pure research lab.,No regulatory actions — no commercial activity yet.,"Pure research lab, no product or revenue. $32B valuation on team reputation alone. Former OpenAI chief scientist Ilya Sutskever."
hugging_face,Hugging Face,2016,US,New York,private,,tooling,infrastructure,,,US,medium,https://en.wikipedia.org/wiki/Hugging_Face,"Clem Delangue, Julien Chaumond",https://en.wikipedia.org/wiki/Hugging_Face,Clément Delangue|Julien Chaumond|Thomas Wolf,,US|EU,"US government agencies use Hugging Face platform. EU public sector users. As the primary open-source model hub, HF hosts models used by governments with widely varying human rights records — limited control over downstream use.",Security breach: unauthorized access to Spaces platform (May 2024). EU AI Act scrutiny as open-source platform host.,Open-source ML platform and model hub. ~$4.5B valuation. The GitHub of AI models.
ai21_labs,AI21 Labs,2017,IL,Tel Aviv,private,,foundation_model,application,,,US,medium,https://en.wikipedia.org/wiki/AI21_Labs,Ori Goshen,,Yoav Shoham|Ori Goshen|Amnon Shashua,https://en.wikipedia.org/wiki/Yoav_Shoham|https://en.wikipedia.org/wiki/Amnon_Shashua,IL,"Israeli company with likely Israeli government/military exposure, though not publicly disclosed. Multiple founders are alumni of Israeli academic institutions with defense research ties. Added context: Israel-Gaza conflict raised questions about AI tools used by IDF.",No major public regulatory actions known.,"Israeli AI lab. Wordtune consumer app + enterprise Jamba models. Backed by Google, Nvidia, Intel."
stability_ai,Stability AI,2019,GB,London,private,,foundation_model,application,0.05,,US,low,https://en.wikipedia.org/wiki/Stability_AI,Prem Akkaraju,,Emad Mostaque,https://en.wikipedia.org/wiki/Emad_Mostaque,,No known government contracts.,"Multiple copyright lawsuits from artists and Getty Images over training data (2023, ongoing). CEO Emad Mostaque resigned amid governance concerns (Mar 2024). Financial difficulties and creditor disputes (2024).",Stable Diffusion image model. Founder Emad Mostaque resigned 2024. Financial difficulties; valuation highly uncertain. Low confidence.
aleph_alpha,Aleph Alpha,2019,DE,Heidelberg,private,,foundation_model,application,,,EU,medium,https://en.wikipedia.org/wiki/Aleph_Alpha,Jonas Andrulis,,Jonas Andrulis|Samuel Weinbach,,DE|EU,Explicit European sovereignty positioning. German federal and state government contracts. EU institution contracts. Partnered with SAP and Hewlett Packard Enterprise for gov/enterprise deployments. Positioned as alternative to US hyperscalers for sensitive EU data.,No major regulatory actions. Pivoted away from LLM development to PhariaAI OS (2025) amid questions about competitiveness.,German sovereign AI champion. Raised $533M total. Pivoted from LLM development to 'PhariaAI' enterprise OS in 2025. EU/gov customers focus.
palantir,Palantir,2003,US,Denver,public,PLTR,application,tooling,2.9,0.31,US,high,https://en.wikipedia.org/wiki/Palantir_Technologies,Alex Karp,https://en.wikipedia.org/wiki/Alex_Karp,Peter Thiel|Alex Karp|Joe Lonsdale,https://en.wikipedia.org/wiki/Peter_Thiel|https://en.wikipedia.org/wiki/Alex_Karp,US|GB|IL|UA,"US DoD, CIA, ICE, NHS (UK) contracts. Reported contracts with Israeli military (IDF). Ukraine conflict support contracts. Co-founder Peter Thiel has publicly controversial views on democracy and surveillance. CEO Alex Karp has been outspoken defender of defense AI work.","ICE data-sharing contracts drew significant civil liberties criticism (ACLU, immigrant rights groups). UK NHS Palantir data platform controversy over patient data privacy (2023–2024). Employee activism over defense contracts.",Data analytics and AI for government/defense. ~$180B market cap. Profitable since 2023. Significant US military and intelligence contracts.
anduril,Anduril Industries,2017,US,Costa Mesa,private,,application,,,,US,medium,https://en.wikipedia.org/wiki/Anduril_Industries,Brian Schimpf,,Palmer Luckey,https://en.wikipedia.org/wiki/Palmer_Luckey,US|AU|GB,"Pure defense contractor. US DoD, US Border Patrol, Australian DoD, UK MoD. Autonomous weapons systems and surveillance towers on US-Mexico border. Founder Palmer Luckey (Oculus) explicitly frames company as fixing US defense industrial base.",Civil liberties concerns over autonomous border surveillance systems. No formal regulatory actions.,Defense AI and autonomous systems. $28B valuation. Oculus founder Palmer Luckey. Pure defense contractor using AI.
mercor,Mercor,2022,US,San Francisco,private,,application,,,,US,low,https://mercor.com,Brendan Foody,,Brendan Foody,,,No known government contracts. AI hiring platform.,No major regulatory actions known.,AI hiring platform. ~$2B valuation. Fast riser; does not build foundation models. Limited public financial data.
tii,Technology Innovation Institute (TII),2020,AE,Abu Dhabi,private,,research_lab,foundation_model,,,AE (gov),medium,https://falconllm.tii.ae/|https://en.wikipedia.org/wiki/Technology_Innovation_Institute,Najwa Aaraj,,UAE government (ATRC),,AE,"TII IS a UAE government entity (Abu Dhabi Advanced Technology Research Council). All work is by definition government-directed. UAE has been criticized by human rights organizations for surveillance of dissidents and journalists. UAE also has significant relationships with both US and Chinese technology companies, raising questions about technology transfer.",Not subject to independent regulatory oversight — government entity. G42 (related UAE AI company) faced US scrutiny over Chinese technology ties.,UAE government research institute. Builds open-source Falcon LLM family. No commercial valuation — state-funded. Geopolitically significant as non-US/China/EU AI producer.
deepseek,DeepSeek,2023,CN,Hangzhou,private,,foundation_model,,,,CN (private),low,https://en.wikipedia.org/wiki/DeepSeek,Liang Wenfeng,,Liang Wenfeng,,CN (structural),"Subsidiary of High-Flyer quantitative hedge fund. Under China's National Intelligence Law (2017), all Chinese companies must cooperate with state intelligence agencies on request — this is a structural legal obligation, not a disclosed contract. DeepSeek's open-source release strategy means its models are used globally with no oversight of downstream applications.","Banned or restricted in several countries over data privacy concerns (Italy, South Korea, Australia government devices). US Navy banned use of DeepSeek (Jan 2025). Accused by Anthropic of industrial-scale model distillation (Feb 2026).",Subsidiary of quant fund High-Flyer. Never raised external funding; no formal valuation. Open-source R1 model shocked global AI industry in Jan 2025 by achieving frontier performance at low cost.
moonshot_ai,Moonshot AI (Kimi),2023,CN,Beijing,private,,foundation_model,application,,,CN,medium,https://en.wikipedia.org/wiki/Moonshot_AI,Yang Zhilin,,Yang Zhilin,,CN (structural),"Beijing-based; subject to PRC National Intelligence Law. Backed by Alibaba and Tencent, both of which have their own obligations under Chinese law. Kimi chatbot operates under Chinese content regulations requiring censorship of politically sensitive topics.",Accused by Anthropic of industrial-scale model distillation via fraudulent accounts (Feb 2026).,Fastest Chinese company to reach $10B valuation. Kimi chatbot. Backed by Alibaba and Tencent. Revenue in 20 days post-K2.5 launch exceeded all of 2025.
zhipu_ai,Zhipu AI,2019,CN,Beijing,public,,foundation_model,,0.4,-0.27,CN (gov),medium,https://en.wikipedia.org/wiki/Zhipu_AI,,,Tang Jie|Zhiyuan Liu,,CN (structural)|CN (gov investor),"Spun out of Tsinghua University with Beijing government-affiliated fund investors. Subject to PRC National Intelligence Law. Added to US Entity List (Jan 2025) over alleged PRC military ties, which the company denies. Considered by OpenAI to be among its most significant global competitive threats due to overseas expansion.","Added to US Entity List (Jan 2025) — restricts access to US technology and components. Accused by Anthropic of industrial-scale model distillation (Feb 2026). Heavy losses (~$270M net loss on ~$400M revenue, 2024).",Spun out of Tsinghua University. Hong Kong listed. GLM model family. Added to US entity list Jan 2025. Net loss ~$270M on ~$400M revenue (2024).
baidu,Baidu,2000,CN,Beijing,public,BIDU,foundation_model,application,18.9,,US,high,https://en.wikipedia.org/wiki/Baidu,Robin Li,https://en.wikipedia.org/wiki/Robin_Li,Robin Li,https://en.wikipedia.org/wiki/Robin_Li,CN (structural),China's dominant search engine; long-standing cooperation with Chinese government censorship and surveillance infrastructure. Subject to PRC National Intelligence Law. Ernie Bot operates under Chinese content regulations.,EU and US scrutiny over data practices. Historical cooperation with Great Firewall censorship apparatus. Ernie Bot required to pass Chinese government security review before public launch (2023).,Chinese search giant. Ernie Bot LLM. ~$30B market cap (down significantly from peak). Revenue ~$18.9B (2024).
c3ai,C3.ai,2009,US,Redwood City,public,AI,application,,0.39,-0.29,US,high,https://en.wikipedia.org/wiki/C3.ai,Tom Siebel,https://en.wikipedia.org/wiki/Tom_Siebel,Tom Siebel,https://en.wikipedia.org/wiki/Tom_Siebel,US,US DoD and federal agency AI application contracts. Significant defense and intelligence community exposure.,"Securities fraud class action lawsuit (2023) over revenue recognition practices. SEC investigation. Short-seller reports questioning revenue quality (Spruce Point, 2021).","One of the few pure-play public AI application companies. Revenue ~$390M, loss ~$290M. US gov/defense contracts. Market cap ~$900M."
soundhound,SoundHound AI,2005,US,Santa Clara,public,SOUN,application,,0.08,-0.1,US,medium,https://en.wikipedia.org/wiki/SoundHound_AI,Keyvan Mohajer,,Keyvan Mohajer,,,No known government contracts. Focus is automotive and restaurant voice AI.,SEC investigation into accounting practices and internal controls (2024). Restatement of financial results.,"Voice AI for automotive and restaurants. Public (SPAC). Revenue $84M (2024), loss ~$100M. Acquired Amelia AI."
alphabet,Alphabet (Google),1998,US,Mountain View,public,GOOGL,cloud_ai,foundation_model,402.8,132.2,US,high,https://en.wikipedia.org/wiki/Alphabet_Inc.|https://en.wikipedia.org/wiki/Google,Sundar Pichai,https://en.wikipedia.org/wiki/Sundar_Pichai,Larry Page|Sergey Brin,https://en.wikipedia.org/wiki/Larry_Page|https://en.wikipedia.org/wiki/Sergey_Brin,US|EU|GB,Major US DoD and intelligence community cloud contracts (including JEDI/JWCC). Google Cloud used by US and allied governments. Significant US federal AI contracts.,EU €2.4B antitrust fine (2017). US DOJ antitrust ruling (2024) finding Google monopolized search. Multiple EU AI Act and DMA compliance orders. EU antitrust probe into AI/search bundling (2024).,"World's largest AI company by revenue. Google Cloud AI fastest-growing segment. Gemini models. ~$2T market cap. Revenue $402.8B, net income $132.2B in FY2025."
amazon,Amazon,1994,US,Seattle,public,AMZN,cloud_ai,infrastructure,716.9,77.7,US,high,https://en.wikipedia.org/wiki/Amazon_(company)|https://en.wikipedia.org/wiki/Amazon_Web_Services,Andy Jassy,https://en.wikipedia.org/wiki/Andy_Jassy,Jeff Bezos,https://en.wikipedia.org/wiki/Jeff_Bezos,US|EU|AU,"Major US DoD and intelligence community cloud contracts (CIA, NSA). AWS GovCloud. Australian government cloud contracts. JEDI/JWCC competitor.",EU GDPR fines. EU Digital Markets Act compliance obligations. US FTC antitrust action on retail practices (2023 lawsuit).,"Largest cloud provider by revenue. AWS $128.7B revenue in 2025 (+20% YoY). Revenue $716.9B, net income $77.7B FY2025. Major AI infrastructure investor ($200B capex plan)."
tesla,Tesla,2003,US,Austin,public,TSLA,autonomous_vehicles,robotics,94.8,3.8,US,high,https://en.wikipedia.org/wiki/Tesla%2C_Inc.,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,Elon Musk|JB Straubel|Martin Eberhard|Marc Tarpenning|Ian Wright,https://en.wikipedia.org/wiki/Elon_Musk|https://en.wikipedia.org/wiki/JB_Straubel|https://en.wikipedia.org/wiki/Martin_Eberhard,,No significant government AI contracts. CEO Elon Musk's political role in DOGE created significant brand controversy in 2025.,Multiple NHTSA Autopilot/FSD investigations. NHTSA recalls for Autopilot defects. CEO Elon Musk political controversy causing brand damage and sales declines (2025). Germany and other market protests.,"EV and autonomous driving leader. FSD (Full Self-Driving) and Optimus humanoid robot. Revenue $94.8B (-3% YoY), net income $3.8B (-47% YoY) in FY2025."
oracle,Oracle,1977,US,Austin,public,ORCL,cloud_ai,infrastructure,57.4,12.4,US,high,https://en.wikipedia.org/wiki/Oracle_Corporation,Safra Catz,https://en.wikipedia.org/wiki/Safra_Catz,Larry Ellison|Bob Miner|Ed Oates,https://en.wikipedia.org/wiki/Larry_Ellison|https://en.wikipedia.org/wiki/Bob_Miner,US|GB,US federal government OCI (Oracle Cloud Infrastructure) contracts including DoD. UK NHS contracts. Broad US public sector presence.,EU GDPR compliance. Historical antitrust scrutiny. US DOL lawsuit over pay equity.,"Major cloud and database company pivoting to AI infrastructure. FY2025 revenue $57.4B, net income $12.4B. Cloud backlog of $138B. Co-founder Larry Ellison closely aligned with Trump administration."
salesforce,Salesforce,1999,US,San Francisco,public,CRM,application,cloud_ai,37.9,6.2,US,high,https://en.wikipedia.org/wiki/Salesforce,Marc Benioff,https://en.wikipedia.org/wiki/Marc_Benioff,Marc Benioff|Parker Harris,https://en.wikipedia.org/wiki/Marc_Benioff,US|EU,Broad US federal and state government CRM contracts. EU government customers. No significant defense/intelligence exposure.,EU GDPR compliance obligations. No major regulatory actions.,"Leading enterprise CRM and AI platform. Agentforce AI launched 2024. FY2025 revenue $37.9B, net income $6.2B. Acquired Slack and Tableau."
servicenow,ServiceNow,2004,US,Santa Clara,public,NOW,application,,13.3,1.75,US,high,https://en.wikipedia.org/wiki/ServiceNow,Bill McDermott,https://en.wikipedia.org/wiki/Bill_McDermott,Fred Luddy,https://en.wikipedia.org/wiki/Fred_Luddy,US|EU,US federal government IT service management contracts (FedRAMP). Broad US and EU government customers.,No major regulatory actions known.,"Enterprise AI and IT workflow automation platform. FY2025 revenue $13.3B (+21% YoY), net income $1.75B. Now platform embedding AI agents across enterprise workflows."
ibm,IBM,1911,US,Armonk,public,IBM,application,infrastructure,67.5,10.6,US,high,https://en.wikipedia.org/wiki/IBM,Arvind Krishna,https://en.wikipedia.org/wiki/Arvind_Krishna,Charles Ranlett Flint|Thomas J. Watson,https://en.wikipedia.org/wiki/Thomas_J._Watson,US|EU|AU,"Major US government contracts across all agencies. DoD, intelligence community. IBM Z mainframes underpin US financial and government infrastructure.",EU competition investigations (historical). EEOC pay discrimination settlements (historical). No major recent regulatory actions.,"Hybrid cloud and AI company. watsonx AI platform. FY2025 revenue $67.5B, net income $10.6B (+76% YoY). Acquired HashiCorp 2024. ~130-year-old company reinventing for AI era."
arm_holdings,Arm Holdings,1990,GB,Cambridge,public,ARM,semiconductor,infrastructure,4.0,0.79,JP,high,https://en.wikipedia.org/wiki/Arm_Holdings,Rene Haas,https://en.wikipedia.org/wiki/Ren%C3%A9_Haas,Hermann Hauser|Robin Saxby,https://en.wikipedia.org/wiki/Hermann_Hauser,US|GB,US DoD and intelligence community use Arm-based chips extensively. UK government strategic interest. Arm architecture powers virtually all mobile and most AI edge devices.,FTC blocked Nvidia's $40B acquisition attempt (2022). EU antitrust clearance was pending before deal collapsed. Chinese subsidiary (Arm China) governance dispute ongoing.,"CPU architecture licensor for ~99% of smartphones and growing share of AI data center chips. SoftBank owns ~90%. FY2025 revenue $4.0B, net income $792M. Key bottleneck for AI edge compute."
adobe,Adobe,1982,US,San Jose,public,ADBE,application,,23.8,7.1,US,high,https://en.wikipedia.org/wiki/Adobe_Inc.,Shantanu Narayen,https://en.wikipedia.org/wiki/Shantanu_Narayen,John Warnock|Charles Geschke,https://en.wikipedia.org/wiki/John_Warnock|https://en.wikipedia.org/wiki/Charles_Geschke,US|EU,US government licensing contracts for creative and document tools. No significant defense/intelligence exposure.,FTC blocked $20B Figma acquisition (Dec 2023) on competition grounds. Ongoing EU AI Act compliance for generative AI features.,"Creative and document AI platform. Firefly generative AI. FY2025 revenue $23.8B, net income $7.1B. Failed Figma acquisition a setback but organic AI integration proceeding."
crowdstrike,CrowdStrike,2011,US,Austin,public,CRWD,application,,3.95,-0.019,US,high,https://en.wikipedia.org/wiki/CrowdStrike,George Kurtz,https://en.wikipedia.org/wiki/George_Kurtz,George Kurtz|Dmitri Alperovitch|Gregg Marston,https://en.wikipedia.org/wiki/George_Kurtz|https://en.wikipedia.org/wiki/Dmitri_Alperovitch,US|AU|GB,Major US federal government cybersecurity contracts (FedRAMP High). Five Eyes intelligence community customers. Australian government contracts.,July 2024 Falcon sensor update bug caused 8.5M Windows device outages globally — the largest IT outage in history. Multiple lawsuits and customer compensation claims ongoing.,"AI-native cybersecurity platform. Falcon platform. FY2025 revenue $3.95B, near breakeven on GAAP basis (non-GAAP profit $988M). Recovered from July 2024 global outage."
snowflake,Snowflake,2012,US,Bozeman,public,SNOW,infrastructure,,3.63,-1.29,US,high,https://en.wikipedia.org/wiki/Snowflake_Inc.,Sridhar Ramaswamy,https://en.wikipedia.org/wiki/Sridhar_Ramaswamy,Benoit Dageville|Thierry Cruanes|Marcin Zukowski,https://en.wikipedia.org/wiki/Benoit_Dageville,US,US government and intelligence community data platform contracts via FedRAMP. No significant defense-specific exposure.,No major regulatory actions.,"Cloud data platform. FY2025 revenue $3.63B (+29% YoY), net loss $1.29B. CEO changed 2024. AI/ML features integrated into Data Cloud."
samsara,Samsara,2015,US,San Francisco,public,IOT,application,,1.25,-0.155,US,high,https://en.wikipedia.org/wiki/Samsara_Inc.,Sanjit Biswas,https://en.wikipedia.org/wiki/Sanjit_Biswas,Sanjit Biswas|John Bicket,https://en.wikipedia.org/wiki/Sanjit_Biswas,,No known direct government AI contracts. Fleet and industrial IoT focus.,No major regulatory actions.,"IoT and AI platform for physical operations (fleet, logistics, construction). FY2025 revenue $1.25B (+33% YoY), net loss $155M. Growing ARR now ~$1.5B."
symbotic,Symbotic,2007,US,Wilmington,public,SYM,robotics,,2.25,-0.091,US,high,https://en.wikipedia.org/wiki/Symbotic,Rick Cohen,,Rick Cohen,,US,Walmart is primary customer (majority of revenue). No direct government contracts known.,Accounting restatement and SEC scrutiny over revenue recognition (2024). CFO departure.,"AI-powered warehouse robotics and automation. FY2025 revenue $2.25B (+26% YoY), net loss $91M. Walmart is dominant customer. Backlog exceeds $20B."
tempus_ai,Tempus AI,2015,US,Chicago,public,TEM,application,,1.27,-0.245,US,high,https://en.wikipedia.org/wiki/Tempus_AI,Eric Lefkofsky,https://en.wikipedia.org/wiki/Eric_Lefkofsky,Eric Lefkofsky,https://en.wikipedia.org/wiki/Eric_Lefkofsky,US,US government health research contracts. NIH and other federal health agency data partnerships likely.,No major regulatory actions known. Healthcare data privacy compliance obligations.,"AI-powered precision medicine and genomics data platform. FY2025 revenue $1.27B (+83% YoY), net loss $245M. Acquired Ambry Genetics. First positive Adjusted EBITDA in 2025."
uipath,UiPath,2005,US,New York,public,PATH,application,tooling,1.43,-0.163,US,high,https://en.wikipedia.org/wiki/UiPath,Daniel Dines,https://en.wikipedia.org/wiki/Daniel_Dines,Daniel Dines,https://en.wikipedia.org/wiki/Daniel_Dines,US|EU,US federal government RPA contracts (FedRAMP). European government customers. No significant defense exposure.,No major regulatory actions. Co-CEO Rob Enslin departure created leadership uncertainty (2024).,"Robotic process automation (RPA) and AI automation platform. FY2025 revenue $1.43B (+9% YoY), GAAP operating loss $163M. ARR $1.67B (+14% YoY)."
